Station1	Station2	Distance(km)	TimeLag(s)	CC_Value
000559-001030	48.43	49.000000	0.000248
000559-001031	73.05	20.000000	0.000191
000559-001038	51.71	256.000000	0.035543
000559-001043	57.73	6.000000	0.000108
000559-001045	70.88	31.000000	0.000166
000559-001049	57.76	143.000000	0.000224
000559-001053	60.53	61.000000	0.000178
000559-001812	18.93	257.000000	-0.000020
000559-001827	55.21	257.000000	-0.000036
001030-001038	5.70	208.000000	0.023282
001030-001041	13.77	73.000000	0.000096
001030-001049	19.24	94.000000	0.000146
001030-001053	15.46	13.000000	0.000118
001030-001812	35.24	209.000000	-0.000012
001030-001827	26.37	208.000000	-0.000023
001031-001040	33.38	32.000000	0.000103
001031-001041	41.05	102.000000	0.000083
001031-001043	22.61	229.000000	0.000057
001031-001045	13.98	13.000000	0.000095
001031-001049	17.13	124.000000	0.000118
001031-001053	27.96	43.000000	0.000109
001031-001812	56.57	2.000000	-0.000017
001032-001038	16.13	93.000000	0.023443
001032-001040	29.57	126.000000	0.000104
001032-001043	20.06	83.000000	0.000054
001032-001044	28.03	17.000000	0.000078
001032-001045	17.35	108.000000	0.000095
001032-001049	8.48	220.000000	0.000115
001032-001812	48.18	93.000000	-0.000012
001032-001827	17.83	93.000000	-0.000023
001033-001038	54.36	334.000000	-0.030037
001033-001039	42.54	169.000000	-0.000229
001033-001040	57.08	127.000000	-0.000179
001033-001041	46.91	677.000000	-0.000108
001033-001043	62.55	563.000000	-0.000077
001033-001044	80.55	494.000000	-0.000114
001033-001045	74.20	348.000000	-0.000152
001033-001047	51.99	208.000000	-0.000175
001033-001048	80.83	174.000000	-0.000149
001033-001051	72.85	39.000000	-0.000790
001033-001053	67.15	136.000000	-0.000164
001033-001055	59.67	43.000000	-0.000123
001033-001056	67.67	182.000000	-0.000161
001033-001059	70.02	184.000000	-0.000098
001033-001812	17.54	48.000000	0.000015
001033-001827	50.67	334.000000	0.000030
001038-001040	14.89	33.000000	0.026571
001038-001045	19.85	15.000000	0.023215
001038-001053	17.51	45.000000	0.025985
001039-001040	15.99	195.000000	0.000149
001039-001041	10.94	264.000000	0.000114
001039-001043	20.05	391.000000	0.000085
001039-001044	38.03	326.000000	0.000125
001039-001045	32.53	176.000000	0.000139
001039-001047	16.66	39.000000	0.000193
001039-001048	38.47	5.000000	0.000164
001039-001049	22.80	528.000000	0.000180
001039-001053	24.89	206.000000	0.000161
001039-001056	25.90	12.000000	0.000173
001039-001058	8.70	61.000000	0.000266
001039-001059	27.54	13.000000	0.000097
001039-001812	25.00	161.000000	-0.000015
001039-001827	26.06	160.000000	-0.000029
001040-001044	25.76	370.000000	0.000071
001040-001045	24.44	221.000000	0.000113
001040-001053	10.85	11.000000	0.000125
001041-001043	20.68	127.000000	0.000047
001041-001045	34.46	151.000000	0.000068
001041-001049	31.76	264.000000	0.000092
001041-001053	22.03	181.000000	0.000077
001041-001055	27.44	86.000000	0.000051
001041-001058	18.57	36.000000	0.000143
001041-001812	30.14	377.000000	-0.000009
001041-001827	36.58	376.000000	-0.000015
001043-001045	13.78	24.000000	0.000051
001043-001049	21.59	137.000000	0.000072
001043-001812	45.01	250.000000	-0.000008
001043-001827	31.01	250.000000	-0.000014
001044-001045	10.73	91.000000	0.000067
001044-001049	33.95	203.000000	0.000092
001044-001053	14.99	121.000000	0.000080
001044-001055	25.71	506.000000	0.000050
001044-001812	63.01	76.000000	-0.000008
001044-001827	44.33	77.000000	-0.000015
001045-001047	24.31	1063.000000	0.000098
001045-001053	15.98	30.000000	0.000111
001047-001049	6.14	489.000000	0.000134
001047-001053	26.16	168.000000	0.000114
001047-001055	8.26	74.000000	0.000077
001047-001058	8.01	264.000000	0.000187
001047-001059	23.73	216.000000	0.000067
001047-001812	35.47	106.000000	0.000013
001047-001827	12.71	124.000000	-0.000022
001048-001049	38.34	524.000000	0.000113
001048-001053	13.68	202.000000	0.000100
001048-001056	18.78	8.000000	0.000110
001048-001058	37.40	57.000000	0.000170
001048-001059	13.20	6.000000	0.000063
001048-001812	63.35	860.000000	0.000009
001048-001827	48.58	157.000000	-0.000017
001049-001053	29.25	158.000000	0.000139
001049-001055	8.65	63.000000	0.000085
001049-001812	40.31	113.000000	-0.000016
001049-001827	10.38	113.000000	-0.000029
001051-001053	6.49	97.000000	0.000561
001051-001055	26.63	2.000000	0.000375
001051-001056	17.03	142.000000	0.000543
001051-001059	11.13	143.000000	0.000310
001051-001812	55.49	292.000000	-0.000054
001051-001827	44.91	291.000000	-0.000101
001053-001055	20.82	385.000000	0.000081
001055-001812	42.76	6.000000	-0.000011
001055-001827	18.81	1.000000	-0.000017
001056-001059	6.03	2.000000	0.000066
001056-001812	50.26	152.000000	-0.000012
001056-001827	29.88	149.000000	-0.000022
001058-001059	24.89	192.000000	0.000119
001058-001812	29.25	341.000000	-0.000028
001058-001827	18.08	340.000000	-0.000050
001059-001812	52.48	148.000000	-0.000009
